"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S04256",2020,"Afternoon","2020-07-05",20,-19.465760594195,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Evening","2020-07-05",NA,-19.465760594195,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Morning","2020-07-05",0,-19.465760594195,"Saint Quentin",-67.3305,47.514167
"S04256",2020,"Night","2020-07-05",NA,-19.465760594195,"Saint Quentin",-67.3305,47.514167
"S04268",2019,"Afternoon","2019-07-17",2,-19.4501875731684,"Saint Quentin",-67.3305,47.514167
"S04268",2019,"Evening","2019-07-17",58,-19.4501875731684,"Saint Quentin",-67.3305,47.514167
"S04268",2019,"Morning","2019-07-17",11,-19.4501875731684,"Saint Quentin",-67.3305,47.514167
"S04268",2019,"Night","2019-07-17",0,-19.4501875731684,"Saint Quentin",-67.3305,47.514167
"S04272",2019,"Afternoon","2019-07-16",6,-19.1537610791458,"St Modeste",-69.391333,47.836833
"S04272",2019,"Evening","2019-07-16",2,-19.1537610791458,"St Modeste",-69.391333,47.836833
"S04272",2019,"Morning","2019-07-16",4,-19.1537610791458,"St Modeste",-69.391333,47.836833
"S04272",2019,"Night","2019-07-16",1,-19.1537610791458,"St Modeste",-69.391333,47.836833
"S04272",2018,"Afternoon","2018-07-19",0,-19.0128710442846,"St Modeste",-69.391333,47.836833
"S04272",2018,"Evening","2018-07-19",0,-19.0128710442846,"St Modeste",-69.391333,47.836833
"S04272",2018,"Morning","2018-07-19",0,-19.0128710442846,"St Modeste",-69.391333,47.836833
"S04272",2018,"Night","2018-07-19",0,-19.0128710442846,"St Modeste",-69.391333,47.836833
"S04266",2019,"Afternoon","2019-07-22",0,-18.8430708397629,"Escourt",-69.127167,47.555
"S04266",2019,"Evening","2019-07-22",64,-18.8430708397629,"Escourt",-69.127167,47.555
"S04266",2019,"Morning","2019-07-22",14,-18.8430708397629,"Escourt",-69.127167,47.555
"S04266",2019,"Night","2019-07-22",0,-18.8430708397629,"Escourt",-69.127167,47.555
"S04263",2021,"Afternoon","2021-06-30",1,-18.7818570646051,"Juniper",-67.246,46.542
"S04263",2021,"Evening","2021-06-30",17,-18.7818570646051,"Juniper",-67.246,46.542
"S04263",2021,"Morning","2021-06-30",0,-18.7818570646051,"Juniper",-67.246,46.542
"S04263",2021,"Night","2021-06-30",19,-18.7818570646051,"Juniper",-67.246,46.542
"S04620",2021,"Afternoon","2021-08-09",37,-18.7118619020846,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Evening","2021-08-09",NA,-18.7118619020846,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Morning","2021-08-09",0,-18.7118619020846,"Port Saunders",-57.3026,50.6501
"S04620",2021,"Night","2021-08-09",NA,-18.7118619020846,"Port Saunders",-57.3026,50.6501
"S04273",2019,"Afternoon","2019-07-27",1,-18.5147841724871,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Evening","2019-07-27",0,-18.5147841724871,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Morning","2019-07-27",6,-18.5147841724871,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Night","2019-07-27",0,-18.5147841724871,"Baie Comeau",-68.197667,49.138167
"S04272",2020,"Afternoon","2020-06-27",0,-18.4940115032226,"St Modeste",-69.391333,47.836833
"S04272",2020,"Evening","2020-06-27",41,-18.4940115032226,"St Modeste",-69.391333,47.836833
"S04272",2020,"Morning","2020-06-27",0,-18.4940115032226,"St Modeste",-69.391333,47.836833
"S04272",2020,"Night","2020-06-27",11,-18.4940115032226,"St Modeste",-69.391333,47.836833
"S04268",2018,"Afternoon","2018-07-17",2,-18.3306064226554,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Evening","2018-07-17",109,-18.3306064226554,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Morning","2018-07-17",0,-18.3306064226554,"Saint Quentin",-67.3305,47.514167
"S04268",2018,"Night","2018-07-17",3,-18.3306064226554,"Saint Quentin",-67.3305,47.514167
"S04258",2018,"Afternoon","2018-07-08",2,-17.9611044961704,"Robinsonville",-66.934833,47.877833
"S04258",2018,"Evening","2018-07-08",46,-17.9611044961704,"Robinsonville",-66.934833,47.877833
"S04258",2018,"Morning","2018-07-08",3,-17.9611044961704,"Robinsonville",-66.934833,47.877833
"S04258",2018,"Night","2018-07-08",19,-17.9611044961704,"Robinsonville",-66.934833,47.877833
"S04272",2019,"Afternoon","2019-07-13",0,-17.9175015510625,"St Modeste",-69.391333,47.836833
"S04272",2019,"Evening","2019-07-13",4,-17.9175015510625,"St Modeste",-69.391333,47.836833
"S04272",2019,"Morning","2019-07-13",5,-17.9175015510625,"St Modeste",-69.391333,47.836833
